21:01:40.071 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=66, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:45.823 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=67, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:50.828 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=68, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:55.832 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=69, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
21:01:56.126 [Thread-92] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
21:01:57.013 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - Starting Application using Java 17.0.1 with PID 3912 (/Users/liyinchi/workspace/java/lyc.springboot.demo/target/classes started by liyinchi in /Users/liyinchi/workspace/java/lyc.springboot.demo)
21:01:57.039 [restartedMain] DEBUG c.e.lyc.springboot.demo.Application - Running with Spring Boot v3.1.2, Spring v6.0.11
21:01:57.039 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - The following 1 profile is active: "dev"
21:01:57.894 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21:01:57.894 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
21:01:57.930 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:01:58.192 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.192 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: queue，属于com.example.lyc.springboot.demo.config.ActiveMqConfig包==============
21:01:58.192 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.192 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法queue执行完毕，返回参数为：queue://activemq.queue==============
21:01:58.193 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：queue://activemq.queue增强版==============
21:01:58.193 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.193 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法queue已经执行完==============
21:01:58.218 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: microservice.url.orderUrl, beanName: jsonController, field: com.example.lyc.springboot.demo.controller.JsonController.orderUrl
21:01:58.435 [restartedMain] INFO  c.e.l.s.demo.service.RedisService - redis port: 6379
21:01:58.473 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.474 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: userService，属于com.example.lyc.springboot.demo.config.AppConfig包==============
21:01:58.474 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.475 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法userService执行完毕，返回参数为：com.example.lyc.springboot.demo.serviceImpl.UserServiceImpl@5e574fad==============
21:01:58.475 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：com.example.lyc.springboot.demo.serviceImpl.UserServiceImpl@5e574fad增强版==============
21:01:58.475 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.475 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法userService已经执行完==============
21:01:58.477 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.477 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: passwordEncoder，属于com.example.lyc.springboot.demo.config.SecurityConfig包==============
21:01:58.477 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.478 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法passwordEncoder执行完毕，返回参数为：org.springframework.security.crypto.bcrypt.BCryptPasswordEncoder@4e54cfdf==============
21:01:58.478 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springframework.security.crypto.bcrypt.BCryptPasswordEncoder@4e54cfdf增强版==============
21:01:58.478 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.478 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法passwordEncoder已经执行完==============
21:01:58.497 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.497 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: restTemplate，属于com.example.lyc.springboot.demo.config.AppConfig包==============
21:01:58.497 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.498 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法restTemplate执行完毕，返回参数为：org.springframework.web.client.RestTemplate@1e595aec==============
21:01:58.498 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springframework.web.client.RestTemplate@1e595aec增强版==============
21:01:58.498 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.499 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法restTemplate已经执行完==============
21:01:58.541 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: wechat.appid, beanName: wechatService, field: com.example.lyc.springboot.demo.service.WechatService.appId
21:01:58.541 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: wechat.secret, beanName: wechatService, field: com.example.lyc.springboot.demo.service.WechatService.secret
21:01:58.541 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: wechat.redirect.uri, beanName: wechatService, field: com.example.lyc.springboot.demo.service.WechatService.redirectUri
21:01:58.594 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.620 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: authenticationProvider，属于com.example.lyc.springboot.demo.config.SecurityConfig包==============
21:01:58.621 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.622 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doBefore方法进入了==============
21:01:58.623 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============即将执行方法为: userDetailsService，属于com.example.lyc.springboot.demo.config.SecurityConfig包==============
21:01:58.623 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
21:01:58.624 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法userDetailsService执行完毕，返回参数为：org.springframework.security.provisioning.JdbcUserDetailsManager@3352453f==============
21:01:58.624 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============对返回参数进行业务上的增强：org.springframework.security.provisioning.JdbcUserDetailsManager@3352453f增强版==============
21:01:58.624 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
21:01:58.624 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法userDetailsService已经执行完==============
21:01:58.656 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============方法authenticationProvider执行完毕，返回参数为：org.springframework.security.authentication.dao.DaoAuthenticationProvider@a7134a6==============
