21:00:19.563 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:00:19.570 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
21:00:19.570 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: getRequestInfo，属于com.example.lyc.springboot.demo.controller.onlineController包
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - 用户请求的url为：http://127.0.0.1:8088/listener/request，ip地址为：127.0.0.1
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.c.onlineController - requestListener中的初始化的name数据：null
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo执行完毕，返回参数为：success
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：success增强版
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doAfter方法进入了====
21:00:19.571 [http-nio-8088-exec-1] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo已经执行完
21:01:22.170 [Apollo-RemoteConfigRepository-1] WARN  c.c.f.a.i.AbstractConfigRepository - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: getRequestInfo，属于com.example.lyc.springboot.demo.controller.onlineController包
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - 用户请求的url为：http://127.0.0.1:8088/listener/request，ip地址为：127.0.0.1
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.c.onlineController - requestListener中的初始化的name数据：null
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo执行完毕，返回参数为：success
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：success增强版
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doAfter方法进入了====
21:01:24.708 [http-nio-8088-exec-3] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo已经执行完
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: getRequestInfo，属于com.example.lyc.springboot.demo.controller.onlineController包
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - 用户请求的url为：http://127.0.0.1:8088/listener/request，ip地址为：127.0.0.1
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.c.onlineController - requestListener中的初始化的name数据：null
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo执行完毕，返回参数为：success
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：success增强版
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doAfter方法进入了====
21:01:26.427 [http-nio-8088-exec-4] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getRequestInfo已经执行完
21:01:31.043 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
21:01:31.044 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: getTotalUser，属于com.example.lyc.springboot.demo.controller.onlineController包
21:01:31.045 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - 用户请求的url为：http://127.0.0.1:8088/listener/total，ip地址为：127.0.0.1
21:01:31.045 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getTotalUser执行完毕，返回参数为：当前在线人数：null
21:01:31.045 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：当前在线人数：null增强版
21:01:31.045 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doAfter方法进入了====
21:01:31.045 [http-nio-8088-exec-5] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getTotalUser已经执行完
21:01:32.097 [Apollo-RemoteConfigRepository-1] WARN  c.c.f.a.i.AbstractConfigRepository - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository, reason: Get config services failed from http://meta.apollo.xxx.cn/services/config?appId=platform&ip=10.224.0.20 [Cause: Could not complete get operation [Cause: meta.apollo.xxx.cn]]
21:01:36.524 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
21:01:36.524 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: getTotalUser，属于com.example.lyc.springboot.demo.controller.onlineController包
21:01:36.524 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - 用户请求的url为：http://127.0.0.1:8088/listener/total2，ip地址为：127.0.0.1
21:01:36.525 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法getTotalUser执行完毕，返回参数为：当前在线人数：null
21:01:36.525 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：当前在线人数：null增强版
21:01:36.525 [http-nio-8088-exec-6] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doAfter方法进入了====
