20:00:02.664 [org.springframework.jms.JmsListenerEndpointContainer#0-1] ERROR o.s.j.l.DefaultMessageListenerContainer - Could not refresh JMS Connection for destination 'activemq.queue' - retrying using FixedBackOff{interval=5000, currentAttempts=4, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://localhost:61616. Reason: java.net.ConnectException: Connection refused
20:00:03.363 [Thread-28] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8088"]
20:00:03.364 [Thread-28] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
20:00:03.365 [Thread-28] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8088"]
20:00:03.371 [Thread-28] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8088"]
20:00:03.516 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - Starting Application using Java 17.0.1 with PID 31162 (/Users/liyinchi/workspace/java/lyc.springboot.demo/target/classes started by liyinchi in /Users/liyinchi/workspace/java/lyc.springboot.demo)
20:00:03.516 [restartedMain] DEBUG c.e.lyc.springboot.demo.Application - Running with Spring Boot v3.1.2, Spring v6.0.11
20:00:03.517 [restartedMain] INFO  c.e.lyc.springboot.demo.Application - The following 1 profile is active: "dev"
20:00:03.935 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
20:00:03.935 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
20:00:03.936 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
20:00:03.957 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:00:04.094 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
20:00:04.094 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: queue，属于com.example.lyc.springboot.demo.config.ActiveMqConfig包
20:00:04.094 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
20:00:04.095 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法queue执行完毕，返回参数为：queue://activemq.queue
20:00:04.095 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：queue://activemq.queue增强版
20:00:04.095 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
20:00:04.095 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法queue已经执行完
20:00:04.119 [restartedMain] INFO  c.c.f.a.s.a.SpringValueProcessor - Monitoring key: microservice.url.orderUrl, beanName: jsonController, field: com.example.lyc.springboot.demo.controller.JsonController.orderUrl
20:00:04.212 [restartedMain] INFO  c.e.l.s.demo.service.RedisService - redis port: 6379
20:00:04.310 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
20:00:04.326 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: userService，属于com.example.lyc.springboot.demo.config.AppConfig包
20:00:04.326 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
20:00:04.327 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法userService执行完毕，返回参数为：com.example.lyc.springboot.demo.serviceImpl.UserServiceImpl@61e5dc02
20:00:04.327 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：com.example.lyc.springboot.demo.serviceImpl.UserServiceImpl@61e5dc02增强版
20:00:04.327 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
20:00:04.327 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法userService已经执行完
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 即将执行方法为: topic，属于com.example.lyc.springboot.demo.config.ActiveMqConfig包
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - Not in a request context
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法topic执行完毕，返回参数为：topic://activemq.topic
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 对返回参数进行业务上的增强：topic://activemq.topic增强版
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ==============doAfter方法进入了==============
20:00:04.356 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - 方法topic已经执行完
20:00:04.359 [restartedMain] INFO  c.e.l.s.d.handler.LogAspectHandler - ====doBefore方法进入了====
